EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
1,2,221,21500332,,,2:15,2,5,0,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Porzingis 16' Jump Shot,11:37 PM
0,4,222,21500332,Gay REBOUND (Off:0 Def:3),,2:14,2,4,0,0,200752,Rudy Gay,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,11:38 PM
47,2,223,21500332,MISS Casspi 9' Turnaround Jump Shot,,2:05,2,4,0,0,201956,Omri Casspi,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,11:38 PM
0,4,224,21500332,,,2:05,2,5,0,0,202498,Lance Thomas,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Thomas REBOUND (Off:0 Def:1),11:38 PM
1,1,225,21500332,,,1:52,2,5,5,0,201167,Arron Afflalo,NYK,New York,1610612752,Knicks,202498,Lance Thomas,NYK,New York,1610612752,Knicks,0,,,,,,34 - 44,10,Afflalo 20' Jump Shot (8 PTS) (Thomas 1 AST),11:38 PM
1,5,226,21500332,Rondo Bad Pass Turnover (P1.T3),,1:43,2,4,5,0,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,101181,Jose Calderon,NYK,New York,1610612752,Knicks,0,,,,,,,,Calderon STEAL (1 STL),11:38 PM
1,1,227,21500332,,,1:23,2,5,0,0,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,36 - 44,8,Anthony 14' Jump Shot (9 PTS),11:38 PM
80,1,228,21500332,Rondo 18' Step Back Jump Shot (10 PTS),,1:11,2,4,0,0,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,36 - 46,10,,11:39 PM
1,1,229,21500332,,,1:00,2,5,5,0,202498,Lance Thomas,NYK,New York,1610612752,Knicks,101181,Jose Calderon,NYK,New York,1610612752,Knicks,0,,,,,,39 - 46,7,Thomas 24' 3PT Jump Shot (5 PTS) (Calderon 3 AST),11:39 PM
1,2,230,21500332,MISS McLemore 12' Jump Shot,,0:52,2,4,0,0,203463,Ben McLemore,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,11:39 PM
