EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
5,1,229,21500284,Wall 2' Layup (8 PTS),,1:34,2,4,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,55 - 50,-5,,8:00 PM
1,1,230,21500284,,,1:19,2,5,0,0,202339,Eric Bledsoe,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,58 - 50,-8,Bledsoe 25' 3PT Jump Shot (9 PTS),8:00 PM
2,6,231,21500284,,,1:01,2,5,4,1,203933,TJ Warren,PHX,Phoenix,1610612756,Suns,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,0,,,,,,,,Warren S.FOUL (P3.PN) (N.Buchert),8:00 PM
11,3,232,21500284,MISS Dudley Free Throw 1 of 2,,1:01,2,4,0,0,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:01 PM
1,4,233,21500284,WIZARDS Rebound,,1:01,2,2,0,0,1610612764,,,,,,0,,,,,,0,,,,,,,,,8:01 PM
0,8,234,21500284,,,1:01,2,5,5,0,203933,TJ Warren,PHX,Phoenix,1610612756,Suns,101179,Ronnie Price,PHX,Phoenix,1610612756,Suns,0,,,,,,,,SUB: Price FOR Warren,8:01 PM
12,3,235,21500284,Dudley Free Throw 2 of 2 (3 PTS),,1:01,2,4,0,0,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,58 - 51,-7,,8:01 PM
73,1,237,21500284,,,0:48,2,5,0,0,202720,Jon Leuer,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,60 - 51,-9,Leuer 2' Driving Reverse Layup (13 PTS),8:01 PM
1,2,238,21500284,MISS Beal 25' 3PT Jump Shot,,0:29,2,4,0,0,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:02 PM
0,4,239,21500284,,,0:27,2,5,0,0,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,Tucker REBOUND (Off:1 Def:6),8:02 PM
1,2,240,21500284,,,0:02,2,5,0,0,202339,Eric Bledsoe,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Bledsoe 25' 3PT Jump Shot,8:02 PM
0,4,241,21500284,,,0:02,2,3,0,0,1610612756,,,,,,0,,,,,,0,,,,,,,,Suns Rebound,8:02 PM
